Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25070549,AMPLICON,602,40527242,PRJNA988238,SAMN36007567,Metagenome or environmental,23666146,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20824708,USA,North America,"USA: Corvallis\, OR",60_D149,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,60_D149,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,60_D149,SRP446524
SRR25070550,AMPLICON,602,34370588,PRJNA988238,SAMN36007566,Metagenome or environmental,19654838,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824707,USA,North America,"USA: Corvallis\, OR",48_D17,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,48_D17,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,48_D17,SRP446524
SRR25070551,AMPLICON,602,39835544,PRJNA988238,SAMN36007565,Metagenome or environmental,22891844,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824706,USA,North America,"USA: Corvallis\, OR",36_BV,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,36_BV,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,36_BV,SRP446524
SRR25070552,AMPLICON,602,34531322,PRJNA988238,SAMN36007484,Metagenome or environmental,19935456,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824705,USA,North America,"USA: Corvallis\, OR",14_C45,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,14_C45,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,14_C45,SRP446524
SRR25070553,AMPLICON,602,33799892,PRJNA988238,SAMN36007564,Metagenome or environmental,18810523,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824704,USA,North America,"USA: Corvallis\, OR",24_B21,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,24_B21,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,24_B21,SRP446524
SRR25070554,AMPLICON,602,41904618,PRJNA988238,SAMN36007563,Metagenome or environmental,24075206,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20824703,USA,North America,"USA: Corvallis\, OR",12_A78,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,12_A78,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,12_A78,SRP446524
SRR25070555,AMPLICON,602,26619838,PRJNA988238,SAMN36007562,Metagenome or environmental,14951875,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824702,USA,North America,"USA: Corvallis\, OR",95_A6,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,95_A6,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,95_A6,SRP446524
SRR25070556,AMPLICON,602,42832300,PRJNA988238,SAMN36007561,Metagenome or environmental,24715319,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824701,USA,North America,"USA: Corvallis\, OR",83_C106,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,83_C106,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,83_C106,SRP446524
SRR25070557,AMPLICON,602,26959968,PRJNA988238,SAMN36007560,Metagenome or environmental,15430951,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824700,USA,North America,"USA: Corvallis\, OR",71_B22,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,71_B22,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,71_B22,SRP446524
SRR25070558,AMPLICON,602,38988530,PRJNA988238,SAMN36007559,Metagenome or environmental,22462676,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824699,USA,North America,"USA: Corvallis\, OR",59_D149,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,59_D149,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,59_D149,SRP446524
SRR25070559,AMPLICON,602,29563016,PRJNA988238,SAMN36007558,Metagenome or environmental,17005483,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824698,USA,North America,"USA: Corvallis\, OR",47_D17,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,47_D17,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,47_D17,SRP446524
SRR25070560,AMPLICON,602,24483340,PRJNA988238,SAMN36007557,Metagenome or environmental,13990341,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824697,USA,North America,"USA: Corvallis\, OR",35_BV,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,35_BV,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,35_BV,SRP446524
SRR25070561,AMPLICON,602,38714018,PRJNA988238,SAMN36007556,Metagenome or environmental,22257954,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824696,USA,North America,"USA: Corvallis\, OR",23_B21,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,23_B21,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,23_B21,SRP446524
SRR25070562,AMPLICON,602,38109008,PRJNA988238,SAMN36007555,Metagenome or environmental,22143874,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824695,USA,North America,"USA: Corvallis\, OR",11_A78,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,11_A78,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,11_A78,SRP446524
SRR25070563,AMPLICON,602,38945186,PRJNA988238,SAMN36007483,Metagenome or environmental,22801485,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824694,USA,North America,"USA: Corvallis\, OR",2_B200,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,2_B200,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,2_B200,SRP446524
SRR25070564,AMPLICON,602,35920136,PRJNA988238,SAMN36007554,Metagenome or environmental,20470270,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824693,USA,North America,"USA: Corvallis\, OR",94_A6,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,94_A6,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,94_A6,SRP446524
SRR25070565,AMPLICON,602,16304568,PRJNA988238,SAMN36007509,Metagenome or environmental,9257943,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824692,USA,North America,"USA: Corvallis\, OR",29_C2,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,29_C2,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,29_C2,SRP446524
SRR25070566,AMPLICON,602,26562648,PRJNA988238,SAMN36007508,Metagenome or environmental,15088662,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824691,USA,North America,"USA: Corvallis\, OR",17_B29,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,17_B29,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,17_B29,SRP446524
SRR25070567,AMPLICON,602,47120948,PRJNA988238,SAMN36007507,Metagenome or environmental,27070738,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824690,USA,North America,"USA: Corvallis\, OR",5_Hystyle,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,5_Hystyle,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,5_Hystyle,SRP446524
SRR25070568,AMPLICON,602,40837272,PRJNA988238,SAMN36007506,Metagenome or environmental,23236622,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824689,USA,North America,"USA: Corvallis\, OR",88_D160,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,88_D160,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,88_D160,SRP446524
SRR25070569,AMPLICON,602,39451468,PRJNA988238,SAMN36007505,Metagenome or environmental,22892805,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824688,USA,North America,"USA: Corvallis\, OR",76_A13,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,76_A13,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,76_A13,SRP446524
SRR25070570,AMPLICON,602,41652380,PRJNA988238,SAMN36007478,Metagenome or environmental,24233350,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824687,USA,North America,"USA: Corvallis\, OR",37_D34,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,37_D34,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,37_D34,SRP446524
SRR25070571,AMPLICON,602,43924328,PRJNA988238,SAMN36007504,Metagenome or environmental,25551633,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824686,USA,North America,"USA: Corvallis\, OR",64_D125,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,64_D125,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,64_D125,SRP446524
SRR25070572,AMPLICON,602,40800550,PRJNA988238,SAMN36007503,Metagenome or environmental,23700184,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824685,USA,North America,"USA: Corvallis\, OR",52_C91,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,52_C91,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,52_C91,SRP446524
SRR25070573,AMPLICON,602,34215874,PRJNA988238,SAMN36007502,Metagenome or environmental,19772256,OREGON STATE UNIVERSITY,2020-07,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824684,USA,North America,"USA: Corvallis\, OR",40_B197,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,40_B197,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,40_B197,SRP446524
SRR25070574,AMPLICON,602,45618958,PRJNA988238,SAMN36007501,Metagenome or environmental,26436354,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824683,USA,North America,"USA: Corvallis\, OR",28_C2,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,28_C2,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,28_C2,SRP446524
SRR25070575,AMPLICON,602,37346876,PRJNA988238,SAMN36007500,Metagenome or environmental,21173170,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824682,USA,North America,"USA: Corvallis\, OR",16_B29,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,16_B29,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,16_B29,SRP446524
SRR25070576,AMPLICON,602,35970102,PRJNA988238,SAMN36007499,Metagenome or environmental,20517320,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824681,USA,North America,"USA: Corvallis\, OR",4_Hystyle,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,4_Hystyle,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,4_Hystyle,SRP446524
SRR25070577,AMPLICON,602,39662770,PRJNA988238,SAMN36007498,Metagenome or environmental,22721424,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20824680,USA,North America,"USA: Corvallis\, OR",87_A107,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,87_A107,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,87_A107,SRP446524
SRR25070578,AMPLICON,602,12716046,PRJNA988238,SAMN36007497,Metagenome or environmental,7423923,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824679,USA,North America,"USA: Corvallis\, OR",75_B53,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,75_B53,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,75_B53,SRP446524
SRR25070579,AMPLICON,602,32321982,PRJNA988238,SAMN36007496,Metagenome or environmental,18266902,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824678,USA,North America,"USA: Corvallis\, OR",63_A94,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,63_A94,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,63_A94,SRP446524
SRR25070580,AMPLICON,602,35019544,PRJNA988238,SAMN36007495,Metagenome or environmental,19676881,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824677,USA,North America,"USA: Corvallis\, OR",51_A67,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,51_A67,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,51_A67,SRP446524
SRR25070581,AMPLICON,602,40126912,PRJNA988238,SAMN36007574,Metagenome or environmental,23058365,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824676,USA,North America,"USA: Corvallis\, OR",98_D178,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,98_D178,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,98_D178,SRP446524
SRR25070582,AMPLICON,602,28514934,PRJNA988238,SAMN36007573,Metagenome or environmental,16254392,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824675,USA,North America,"USA: Corvallis\, OR",121_D89,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,121_D89,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,121_D89,SRP446524
SRR25070583,AMPLICON,602,23577330,PRJNA988238,SAMN36007572,Metagenome or environmental,13608144,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824674,USA,North America,"USA: Corvallis\, OR",109_D6,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,109_D6,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,109_D6,SRP446524
SRR25070584,AMPLICON,602,33200300,PRJNA988238,SAMN36007571,Metagenome or environmental,19031080,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824673,USA,North America,"USA: Corvallis\, OR",97_D178,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,97_D178,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,97_D178,SRP446524
SRR25070585,AMPLICON,602,35910504,PRJNA988238,SAMN36007570,Metagenome or environmental,20497552,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX20824672,USA,North America,"USA: Corvallis\, OR",96_A6,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,96_A6,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,96_A6,SRP446524
SRR25070586,AMPLICON,602,38359440,PRJNA988238,SAMN36007569,Metagenome or environmental,22200065,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824671,USA,North America,"USA: Corvallis\, OR",84_C106,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,84_C106,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,84_C106,SRP446524
SRR25070587,AMPLICON,602,41887762,PRJNA988238,SAMN36007568,Metagenome or environmental,23903969,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824670,USA,North America,"USA: Corvallis\, OR",72_B22,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,72_B22,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,72_B22,SRP446524
SRR25070588,AMPLICON,602,40592860,PRJNA988238,SAMN36007538,Metagenome or environmental,23579985,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824669,USA,North America,"USA: Corvallis\, OR",92_C121,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,92_C121,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,92_C121,SRP446524
SRR25070589,AMPLICON,602,52790584,PRJNA988238,SAMN36007537,Metagenome or environmental,30229319,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824668,USA,North America,"USA: Corvallis\, OR",80_C103,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,80_C103,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,80_C103,SRP446524
SRR25070590,AMPLICON,602,37227680,PRJNA988238,SAMN36007536,Metagenome or environmental,21404257,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824667,USA,North America,"USA: Corvallis\, OR",68_A53,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,68_A53,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,68_A53,SRP446524
SRR25070591,AMPLICON,602,46375070,PRJNA988238,SAMN36007535,Metagenome or environmental,26469195,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824666,USA,North America,"USA: Corvallis\, OR",56_PR,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,56_PR,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,56_PR,SRP446524
SRR25070592,AMPLICON,602,41724620,PRJNA988238,SAMN36007481,Metagenome or environmental,23884896,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824665,USA,North America,"USA: Corvallis\, OR",73_B53,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,73_B53,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,73_B53,SRP446524
SRR25070593,AMPLICON,602,32297300,PRJNA988238,SAMN36007534,Metagenome or environmental,18536713,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824664,USA,North America,"USA: Corvallis\, OR",44_C134,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,44_C134,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,44_C134,SRP446524
